object,position,distance,direction,another_object,another_position,reference
book,"(0,-1)",3,down,lamp,"(-5,-6)",Right
hat,"(-7,-8)",2,down,box,"(-1,8)",Down
umbrella,"(-2,5)",3,right,lamp,"(0,-8)",Up
clock,"(2,0)",3,down,box,"(2,-5)",Up
cup,"(-5,3)",8,left,bag,"(0,-7)",Left
bottle,"(-5,4)",2,left,shoe,"(3,-2)",Left
cup,"(-1,1)",2,down,vase,"(-5,4)",Down
candle,"(3,-3)",4,left,bottle,"(-2,0)",Down
cup,"(-1,-3)",5,right,clock,"(0,-1)",Right
key,"(-1,-7)",8,left,vase,"(4,0)",Left
cup,"(2,-2)",7,right,mug,"(4,6)",Down
plant,"(-4,-1)",7,left,candle,"(5,4)",Left
pen,"(-4,8)",5,up,bowl,"(-7,-5)",Up
plant,"(5,-6)",5,right,clock,"(6,8)",Down
candle,"(-8,-5)",7,left,shoe,"(2,-5)",Left
phone,"(-3,6)",2,left,box,"(8,-3)",Left
pillow,"(1,8)",6,down,book,"(-4,3)",Right
clock,"(8,-8)",6,left,shoe,"(7,-8)",Left
book,"(1,-1)",2,down,pen,"(-6,-6)",Right
remote,"(-4,-4)",7,right,cup,"(-3,0)",Right
